,0
0,Facebook is evil. Period. They lie repeatedly and they are a threat to the privacy of every user. The world existed before Facebook and it can survive just fine without it. The company is rotten to the core and it milks its users’ data for profit. Facebook is NOT your friend.
1,Mark Zuckerberg is a child with an adult toy... he needs to step down. He has shown he is incompetent and has no conscience.
2,Wasn’t IBM’s laptop division sold to Lenovo?
3,"Facebook users would sell their soul for a ""like"". Mark knows that."
4,"I don't blame China. Spying is an ancient part of the Great Game.

I do blame Facebook. The folks who run it, Zuckerberg included, should resign, take their billions and, for the rest of their lives, try to make amends for undermining our national security by compromising our privacy.

I would also like to see the Espionage statute amended to A) remove any liability under it for whistleblower activity and B) make accessory to cyber espionage a felony for tech executives who fail to exercise due diligence."
5,time to shut them down. Need to start a movement to get everyone off of Facebook. It would be interesting to see the sharks in the water then.
6,"I don’t believe there is a FB user that fully trusts the company. I have gone in and out of my activity on the network, and despite the recent (and future) news releases, I am keeping my account active. There is no on-line presence that is risk-free. I’m approaching 50, my parents are in their late 80s, and they love seeing the extended family pictures and “adventures” on facebook. My data being leaked for companies’ financial benefit, the potential of my “privacy” being turned upside down, those are small compared to what I would lose when it comes to keeping the risk-free smiles on my parents’ faces, and feeling one click away from sharing a glass of wine with them at the dining room table. Yes, this is what Zuckerberg is counting on. Much to my chagrin, I’m in."
7,Facebook would sell out are country for a few $$$ we all need to boycott facebook !!
8,"So TLC cries that the trump admin has a bias against Chinese companies? How about China banning Facebook, google, and many other US companies? Forcing 50% partnerships and technology transfers? Having tariffs and enormous administrative trade barriers? China has been stealing US technologies out in the open, banning US companies, and outright exploiting and abusing our businesses’ and previous administrations’ openness to work with them. Time’s up, this has to stop. now it’s time to act."
9,"Facebook appears to not have any principles of any kind. They will sell people's information to the highest bidder, and it doesn't matter to Facebook who that bidder is. Are they a totalitarian government and an enemy of the United States? Facebook can't see anything wrong with that.

Keep in mind this whole enterprise started as a way to rate the sexual attractiveness of female students at Harvard, so it's not like we should be all that surprised to find out that this company has turned out to be pure evil."
10,Trump and Facebook -- lying sellouts! I don't believe anything they say.
11,"FBI needs to take over facebook.
There must be more then what we are seeing so far. We won't know unless FBI verifies it for us.
Until then it needs to shutdown."
12,"Good lord, it's time to abandon these untrustworthy platforms that sell our personal lives and data to the highest bidder.

Watch the latest ""new and trustworty"" dishonest Facebook ads, puke into your hats, and disconnect from Big Bad Brother.

You don't need him."
13,"""Free"" social media applications make their living selling our demographic and behavioral data. The more we put in, the more they give out. They are not deliberately trying to sell our identities, it just happens incidentally."
14,"While facebook is being scrutinized during a midterm election year, other abuses across the industry continue unabated. Maybe facebook's greed will solicit a change.

The weather app on your phone or tablet that can not be disabled....its driven by a data sharing agreement between ISP's and manufacturers. Not only is personal info going to all corners of the earth, but consumers are forced to pay for the data that sends it also."
15,"Have to feel sympathy for the people who have trusted Facebook for years only to have the recent series of scandals expose how seriously they have been exploited, but anybody who took a little time out to look--really look--at what the system and it's overburden of add-ons were up to knew twelve or fourteen years ago, or even earlier, that participation was a very bad idea. It's a classic case of buyer beware, and there is no such thing as a free lunch."
16,Time to fire Sheryl? She's supposedly the brains of the operation...
17,"Anything—or as Trump would put it, ANYTHING!!!—for a buck, right Mark?"
18,"Last week I was trying to take out an ad promoting registration for a kids' sports organization where I volunteer. Facebook did not just want my credit card -- they insisted on an intrusive amount of personal information. Given their track record, that wasn't going to happen.

Every day, we see more and more signs that Facebook is a tool for the oligarchs and moneyed interests, community be damned. I like being able to wish my friends a happy birthday via Facebook and used to consider it a necessary evil...but the ""evil"" is fast overtaking the ""necessary"""
19,"I would be very interested in FB’s response to Senator Warner’s critical question.

This incident shows that we have no security policy, despite having instituted the DNI. We still have this security mess. It’s because we are a conservative nation and want to leave business alone. So they leak our data to hostile China, and government doesn’t have the authority to stop the breech, other than to haul FB VPs before its congressional committees.

And we have a questionable president of whom all of his staff are afraid, so there is no leadership on security from this president, who has leaked sensitive information to the Russians.

I don’t think that our democracy that is currently under Republican leadership, has the capability to solve its security problems."
20,Can it not be shut down? Think of all the time that could be spent profitably without it!
21,"The United States needs some kind of federal data privacy law. I'd say start with the framework adopted by Europe in its General Data Protection Regulation, but give it more free speech protections (no Right to be Forgotten)."
22,"Why is that even a surprise? Facebook will sell our data to anybody who pays or gives them access to more data in return. In fact, I'd like to challenge the Times to name even one significant mobile device manufacturer that Facebook hasn't made some kind of arrangement with. If Iran, Syria or North Korea would be home to some smartphone makers, Facebook would have made deals with those, too. That's my take on the business ethics of Facebook: National security - who cares? Privacy - forget it! Democratic elections - what for? Cyber bullying - sure, if it sells ads! and on it goes.
Facebook reminds me more and more of a malignant cancer - spreading itself and relentlessly trying to grow irrespective of the damage it causes while doing so."
23,"""Malignant Cancer"" is an excellent metaphor for The Facebook!"
24,"When will the malfeasance with Facebook end? We have one of the richest men in the world, whose company takes advantage, in more ways than one, of the 99%. Shut this company down now!"
25,"But wait!

I'm seeing all kinds of warm and fuzzy ads on TV from Facebook about how they are on my side.

I mean, it's one thing not to believe Donald Trump.

But Jeff Zuckerberg?!"
26,"For all you Facebook users...you must realize that the program was started by Zuckerberg at Harvard to categorize and scale the ""hotness"" of female undergraduates. Zuckerberg was a loser at the inception and bigger loser now. Moral: If you have a Facebook account, delete now. The company is not your friend."
27,"Worse than a den of thieves!
Facebook and Zuckerberg will sell data to anyone with a buck!
If the Chinese firm was flagged by U.S.Intelligence, can Zuckerberg and Facebook be reprimanded for dealing with the ""enemy""?"
28,"The FCC’s plan to destroy net neutrality/aka/decreasing internet consumer protections will go into effect on June 11. The Senate has already voted to reverse this disastrous plan last year, Trump supports it, and now the fight moves to the House. They are set to vote in just a few days."
29,"Just saw Ime Archibong, a Facebook executive & talking head, fielding questions about this on CNN Money. I didn't hear one straight answer during the entire 8-1/2 minutes - instead a load of double-talk about the Facebook "" experience. """
30,"Follow up story idea.... can someone write an article explaining what these privacy invasions mean for the average person? I use privacy controls, don’t use 3rd party apps on fb.... but do tag pics, sometimes use locations and “like things”. I would love the nytimes to really spell out how I can be hurt. Thank you!"
31,"This is what happens without appropriate regulations and a company driven by unmitigated greed.
Put these unpatriotic clowns out of business."
